,country_code,child_employment_rate,log_child_employment_rate,rural_electricity_access,life_expectancy,agriculture_value_added_pct,urban_population_pct
1,ARG,0.064896633054108,0.0628711006570689,100.0,76.543,5.955726534068948,92.17
2,BDI,11.510249175148356,2.263791132656847,1.3,61.957,28.58579850290589,13.207
3,BEN,16.67146551250377,2.8694437012168628,30.9,60.0925,27.48072635476005,48.423
4,BFA,15.040322766904573,2.56017677687104,2.45,58.5215,21.320049601072455,28.255
5,BGD,5.100392798536415,1.786385332052773,94.05000000000001,73.445,11.59646208552897,38.558
6,BOL,6.59576582261589,2.0275466579585215,95.1,67.434,12.46872564869134,70.6525
7,CAF,23.301237237593558,3.1677033381479998,1.5,39.200500000000005,32.85270603044238,40.337
8,CIV,9.033761863540189,2.0928063044283656,41.0,60.188,17.009650808629342,51.271
9,CMR,26.60778581510021,3.318097827691869,18.8,59.13,16.82583817800948,53.976
10,COD,10.362016287250668,2.430119755841836,1.0,60.177,19.88538103519094,45.049
11,COL,3.145573195938173,1.422041065139564,92.6,76.228,6.225709689600331,80.108
13,CRI,0.16408940355937063,0.15180891795119775,98.9,80.042,4.591802334336254,78.95
14,DOM,0.29058267887678757,0.25503274658574365,94.8,73.145,4.374118760932485,83.53049999999999
15,DZA,3.777026180105614,1.5560879202764362,98.25,75.24549999999999,10.299627263833113,71.3825
16,ECU,5.639042940089215,1.8929678175710865,97.25,76.221,7.902220409515742,63.821
17,EGY,1.8448271847116635,1.0455023222224935,99.7,69.911,11.337708920187794,43.019
18,ETH,23.481081292947422,3.1132117480342445,29.15,64.461,36.81804457373245,20.801000000000002
20,GAB,9.331926105837095,2.328295361458106,29.549999999999997,66.255,5.061760293360189,88.52850000000001
21,GHA,11.45495794117942,2.369678247785976,69.94999999999999,64.69200000000001,18.825094260983946,57.337500000000006
22,GIN,19.50478731368364,3.020658386377824,6.7,58.49,17.589947436421056,35.46
24,GTM,3.865247202240373,1.582018192366681,85.69999999999999,70.9285,9.831644946870544,50.144999999999996
26,HND,3.60514604320802,1.5271705667896034,74.95,70.8985,12.08496139052965,54.186
28,IND,0.1572023788304219,0.14591175266470804,99.3,71.698,16.449545274758684,36.117999999999995
29,IRN,0.26548477688923516,0.23545143774798824,99.9,75.492,9.938010897409342,73.619
30,JAM,6.9755270687479,2.0336398725022677,96.5,71.76650000000001,7.3490763526058345,56.053
32,KGZ,8.202436544644092,2.219468290799734,100.0,71.4,11.675286484238448,36.351
33,KHM,3.80990342251261,1.5706770054363877,82.9,69.842,17.078447245559193,24.232
38,MDG,15.915242288003107,2.5294469555359527,13.45,63.2795,22.758809544214433,38.536500000000004
39,MEX,2.7166709699006835,1.3127861482027803,99.15,74.2515,3.6071694873165976,80.872
40,MKD,10.294896882995474,2.405642992177877,99.8,75.85121951219512,8.741642157708718,57.65
41,MLI,3.357564294039856,1.471913253102925,12.600000000000001,58.562,31.400776643576062,41.572
43,MNE,11.628139337944992,2.535927604681829,100.0,77.88536585365854,6.7322377887813545,66.813
44,MNG,5.470803991658226,1.8443258434846461,97.3,71.3639024390244,12.227928961420997,68.6875
47,NER,28.93056890931377,3.3988803296797405,7.3,58.693,33.68099382086321,16.219
49,NPL,11.909733706294572,2.5579815777127823,82.1,67.812,27.461895362062226,18.182
50,PAK,2.147388460967531,1.1464257822772659,86.35,65.5075,22.975825474901516,35.9225
51,PAN,1.7574035928016225,1.0142895097216935,72.8,77.121,2.98667755648831,66.371
52,PHL,1.5235094851006399,0.9231934802981485,92.05,69.576,9.186045895724252,47.563
53,PRY,1.8693616283583014,1.0525975560008347,99.4,73.487,10.70228084011034,62.1875
54,PSE,8.020774328007848,2.199530176067148,100.0,74.998,7.101605104399391,76.719
55,SDN,8.945655817043658,1.899542929331825,39.15,64.8425,18.827781738884305,34.822500000000005
56,SEN,6.587097021067962,2.0264490440780447,44.5,67.668,14.896272123444476,47.653
57,SLE,23.139177016638225,3.183836122985429,5.4,57.761,33.3320506947837,41.636
58,SLV,1.9243190188265404,1.0724911717219836,98.3,71.1065,4.685503993400854,74.4425
59,SRB,10.347790262370811,2.429023034432732,99.7,75.33658536585367,5.338337720634305,56.26
63,SWZ,14.138400105542143,2.577014495536589,60.699999999999996,55.679500000000004,8.869134370738358,23.528
64,TCD,23.203494406722385,3.133028775619598,0.5,52.1565,35.60569538211465,22.897
65,TGO,9.676421434977737,2.368037705751709,23.9,61.055,19.51453467086476,42.248
67,TLS,5.216693717351972,1.7303971020238995,83.6,66.489,13.698783527211944,30.962
68,TON,31.06305370662934,3.467704392384345,97.9,72.292,20.241187698002364,23.107
70,TUN,3.934302831763496,1.5962113927465034,100.0,76.508,9.331241228623892,70.544
72,TZA,15.851749943418444,2.824454505614705,10.0,63.364,25.80257744755709,30.904
73,UGA,10.913777406119646,2.4776954956443182,23.0,65.174,23.84180382721719,23.196
74,UKR,5.579707804223821,1.8839903376983065,100.0,72.686,12.059376106337098,69.061
75,UZB,5.753242953710465,1.910022827097988,99.8,71.681,22.15472830931664,50.427
77,VNM,5.711386046051379,1.903805493892281,100.0,74.1,12.603090465274503,35.919
80,WSM,0.3677056514359925,0.3131346289696489,97.9,71.55,9.992649874749276,17.616
83,ZWE,26.691002960391035,3.321107557559445,28.3,61.06,9.819260391584631,32.21
